date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:58	17662/17662	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Sep%202026%2013:58:41%20GMT	https://cdn.dedicacodes.com/t/galaxia-nebulosa-flores-amarillas/1.0.0/index.html	/Users/joan/websites/amarillas/cdn.dedicacodes.com/t/galaxia-nebulosa-flores-amarillas/1.0.0/index.html	(from )
16:55:58	633/633	---MCZ	200	added ('OK')	text/plain	date:Mon,%2021%20Sep%202026%2021:55:58%20GMT	https://cdn.dedicacodes.com/robots.txt		(from )
16:55:59	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Sep%202026%2021:55:59%20GMT	https://fonts.gstatic.com/	/Users/joan/websites/amarillas/fonts.gstatic.com/index.html	(from https://cdn.dedicacodes.com/t/galaxia-nebulosa-flores-amarillas/1.0.0/index.html)
16:55:59	217/217	---MC-	200	added ('OK')	text/css	date:Mon,%2021%20Sep%202026%2021:55:59%20GMT	https://fonts.googleapis.com/css2?family=Indie+Flower&display=swap	/Users/joan/websites/amarillas/fonts.googleapis.com/css26584.css	(from https://cdn.dedicacodes.com/t/galaxia-nebulosa-flores-amarillas/1.0.0/index.html)
16:55:59	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Sep%202026%2021:55:59%20GMT	https://fonts.googleapis.com/	/Users/joan/websites/amarillas/fonts.googleapis.com/index.html	(from https://cdn.dedicacodes.com/t/galaxia-nebulosa-flores-amarillas/1.0.0/index.html)
16:55:59	492209/492209	---M--	200	added ('OK')	audio/x-m4a	etag:%223a58a33ba63b638fc18eb54714e46c9a%22	https://cdn.dedicacodes.com/t/galaxia-nebulosa-flores-amarillas/1.0.0/assets/musica.mp3	/Users/joan/websites/amarillas/cdn.dedicacodes.com/t/galaxia-nebulosa-flores-amarillas/1.0.0/assets/musica.mp3	(from https://cdn.dedicacodes.com/t/galaxia-nebulosa-flores-amarillas/1.0.0/index.html)
16:55:59	608313/608313	---MCZ	200	added ('OK')	application/javascript	etag:W/%2294839-2SW9Anb7/Cpz9eojdo3o/8zO/Bc%22	https://cdn.jsdelivr.net/npm/three@0.148.0/build/three.min.js	/Users/joan/websites/amarillas/cdn.jsdelivr.net/npm/three@0.148.0/build/three.min.js	(from https://cdn.dedicacodes.com/t/galaxia-nebulosa-flores-amarillas/1.0.0/index.html)
16:56:00	57677/57677	---M--	200	added ('OK')	image/png	etag:%225002b315301bc92b083ad4164d8e275e%22	https://cdn.dedicacodes.com/t/galaxia-nebulosa-flores-amarillas/1.0.0/assets/img2.png	/Users/joan/websites/amarillas/cdn.dedicacodes.com/t/galaxia-nebulosa-flores-amarillas/1.0.0/assets/img2.png	(from https://cdn.dedicacodes.com/t/galaxia-nebulosa-flores-amarillas/1.0.0/index.html)
16:56:00	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2021%20Sep%202026%2021:56:00%20GMT	https://fonts.googleapis.com/robots.txt		(from https://cdn.dedicacodes.com/t/galaxia-nebulosa-flores-amarillas/1.0.0/index.html)
16:56:01	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Sep%202026%2021:56:00%20GMT	https://fonts.gstatic.com/robots.txt		(from https://cdn.dedicacodes.com/t/galaxia-nebulosa-flores-amarillas/1.0.0/index.html)
